verse	position	greek	strong	transliteration	gloss	inflected
1:3	8	Ζαρὰ	G2196	Zara	Zerah	Zerah
1:3	9	ἐκ	G1537	ek	by	by
1:3	10	τῆς	G3588	tēs	-	-
1:3	11	Θάμαρ	G2283	Thamar	Tamar	Tamar
1:3	12	Φαρὲς	G5329	Phares	Perez	Perez
1:3	13	δὲ	G1161	de	-	-
1:3	14	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:3	15	τὸν	G3588	ton	-	-
1:3	16	Ἑσρώμ	G2074	Hesrōm	Hezron	Hezron
1:3	17	δὲ	G1161	de	and	and
1:3	18	Ἑσρὼμ	G2074	Hesrōm	Hezron	Hezron
1:3	19	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:3	20	τὸν	G3588	ton	-	-
1:3	21	Ἀράμ	G689	Aram	Ram	Ram
1:4	1	Ἀρὰμ	G689	Aram	Ram	Ram
1:4	2	δὲ	G1161	de	-	-
1:4	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:4	4	τὸν	G3588	ton	-	-
1:4	5	Ἀμιναδάβ	G284	Aminadab	Amminadab	Amminadab
1:4	6	Ἀμιναδὰβ	G284	Aminadab	Amminadab	Amminadab
1:4	7	δὲ	G1161	de	-	-
1:4	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:4	9	τὸν	G3588	ton	-	-
1:4	10	Ναασσών	G3476	Naassōn	Nahshon	Nahshon
1:4	11	δὲ	G1161	de	and	and
1:4	12	Ναασσὼν	G3476	Naassōn	Nahshon	Nahshon
1:4	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:4	14	τὸν	G3588	ton	-	-
1:4	15	Σαλμών	G4533	Salmōn	Salmon	Salmon
1:5	1	Σαλμὼν	G4533	Salmōn	Salmon	Salmon
1:5	2	δὲ	G1161	de	-	-
1:5	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:5	4	τὸν	G3588	ton	-	-
1:5	5	Βόες	G1003	Boes	Boaz	Boaz
1:5	6	ἐκ	G1537	ek	by	by
1:5	7	τῆς	G3588	tēs	-	-
1:5	8	Ῥαχάβ	G4477	Rhachab	Rahab	Rahab
1:5	9	Βόες	G1003	Boes	Boaz	Boaz
1:5	10	δὲ	G1161	de	-	-
1:5	11	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:5	12	τὸν	G3588	ton	-	-
1:5	13	Ἰωβὴδ	G5601	Iōbēd	Obed	Obed
1:5	14	ἐκ	G1537	ek	by	by
1:5	15	τῆς	G3588	tēs	-	-
1:5	16	Ῥούθ	G4503	Rhouth	Ruth	Ruth
1:5	17	δὲ	G1161	de	-	-
1:5	18	Ἰωβὴδ	G5601	Iōbēd	Obed	Obed
1:5	19	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:5	20	τὸν	G3588	ton	-	-
1:5	21	Ἰεσσαί	G2421	Iessai	Jesse	Jesse
1:6	1	δὲ	G1161	de	and	and
1:6	2	Ἰεσσαὶ	G2421	Iessai	Jesse	Jesse
1:6	3	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:6	4	τὸν	G3588	ton	-	-
1:6	5	Δαυὶδ	G1138	Dauid	David	David
1:6	6	τὸν	G3588	ton	the	the
1:6	7	βασιλέα	G935	basilea	king	king
1:6	8	δὲ	G1161	de	Next	Next
1:6	9	Δαυὶδ	G1138	Dauid	David	David
1:6	10	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:6	11	τὸν	G3588	ton	-	-
1:6	12	Σολομῶνα	G4672	Solomōna	Solomon	Solomon
1:6	13	ἐκ	G1537	ek	by	by
1:6	14	τοῦ	G3588	tou	. . .	. . .
1:6	15	Οὐρίου	G3774	Ouriou	Uriah’s	Uriah’s
1:6	16	τῆς	G3588	tēs	[wife]	[wife]
1:7	1	Σολομὼν	G4672	Solomōn	Solomon	Solomon
1:7	2	δὲ	G1161	de	-	-
1:7	3	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:7	4	τὸν	G3588	ton	-	-
1:7	5	Ῥοβοάμ	G4497	Rhoboam	Rehoboam	Rehoboam
1:7	6	Ῥοβοὰμ	G4497	Rhoboam	Rehoboam	Rehoboam
1:7	7	δὲ	G1161	de	-	-
1:7	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:7	9	τὸν	G3588	ton	-	-
1:7	10	Ἀβιά	G7	Abia	Abijah	Abijah
1:7	11	δὲ	G1161	de	and	and
1:7	12	Ἀβιὰ	G7	Abia	Abijah	Abijah
1:7	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:7	14	τὸν	G3588	ton	-	-
1:7	15	Ἀσάφ	G760	Asaph	Asa	Asa
1:8	1	Ἀσὰφ	G760	Asaph	Asa	Asa
1:8	2	δὲ	G1161	de	-	-
1:8	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:8	4	τὸν	G3588	ton	-	-
1:8	5	Ἰωσαφάτ	G2498	Iōsaphat	Jehoshaphat	Jehoshaphat
1:8	6	δὲ	G1161	de	-	-
1:8	7	Ἰωσαφὰτ	G2498	Iōsaphat	Jehoshaphat	Jehoshaphat
1:8	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:8	9	τὸν	G3588	ton	-	-
1:8	10	Ἰωράμ	G2496	Iōram	Joram	Joram
1:8	11	δὲ	G1161	de	and	and
1:8	12	Ἰωρὰμ	G2496	Iōram	Joram	Joram
1:8	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:8	14	τὸν	G3588	ton	-	-
1:8	15	Ὀζίαν	G3604	Ozian	Uzziah	Uzziah
1:9	1	Ὀζίας	G3604	Ozias	Uzziah	Uzziah
1:9	2	δὲ	G1161	de	-	-
1:9	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:9	4	τὸν	G3588	ton	-	-
1:9	5	Ἰωαθάμ	G2488	Iōatham	Jotham	Jotham
1:9	6	Ἰωαθὰμ	G2488	Iōatham	Jotham	Jotham
1:9	7	δὲ	G1161	de	-	-
1:9	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:9	9	τὸν	G3588	ton	-	-
1:9	10	Ἄχαζ	G881	Achaz	Ahaz	Ahaz
1:9	11	δὲ	G1161	de	and	and
1:9	12	Ἄχαζ	G881	Achaz	Ahaz	Ahaz
1:9	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:9	14	τὸν	G3588	ton	-	-
1:9	15	Ἑζεκίαν	G1478	Hezekian	Hezekiah	Hezekiah
1:10	1	Ἑζεκίας	G1478	Hezekias	Hezekiah	Hezekiah
1:10	2	δὲ	G1161	de	-	-
1:10	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:10	4	τὸν	G3588	ton	-	-
1:10	5	Μανασσῆ	G3128	Manassē	Manasseh	Manasseh
1:10	6	Μανασσῆς	G3128	Manassēs	Manasseh	Manasseh
1:10	7	δὲ	G1161	de	-	-
1:10	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:10	9	τὸν	G3588	ton	-	-
1:10	10	Ἀμώς	G301	Amōs	Amon	Amon
1:10	11	δὲ	G1161	de	-	-
1:10	12	Ἀμὼς	G301	Amōs	Amon	Amon
1:10	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:10	14	τὸν	G3588	ton	-	-
1:10	15	Ἰωσίαν	G2502	Iōsian	Josiah	Josiah
1:11	1	δὲ	G1161	de	and	and
1:11	2	Ἰωσίας	G2502	Iōsias	Josiah	Josiah
1:11	3	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:11	4	τὸν	G3588	ton	-	-
1:11	5	Ἰεχονίαν	G2423	Iechonian	Jeconiah	Jeconiah
1:11	6	καὶ	G2532	kai	and	and
1:11	7	τοὺς	G3588	tous	-	-
1:11	8	αὐτοῦ	G846	autou	his	his
1:11	9	ἀδελφοὺς	G80	adelphous	brothers	brothers
1:11	10	ἐπὶ	G1909	epi	at [the time]	at [the time]
1:11	11	τῆς	G3588	tēs	of the	of the
1:11	12	μετοικεσίας	G3350	metoikesias	exile	exile
1:11	13	Βαβυλῶνος	G897	Babylōnos	to Babylon	to Babylon
1:12	1	Μετὰ	G3326	Meta	After	After
1:12	2	δὲ	G1161	de	. . .	. . .
1:12	3	τὴν	G3588	tēn	the	the
1:12	4	μετοικεσίαν	G3350	metoikesian	exile	exile
1:12	5	Βαβυλῶνος	G897	Babylōnos	to Babylon	to Babylon
1:12	6	Ἰεχονίας	G2423	Iechonias	Jeconiah	Jeconiah
1:12	7	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:12	8	τὸν	G3588	ton	-	-
1:12	9	Σαλαθιήλ	G4528	Salathiēl	Shealtiel	Shealtiel
1:12	10	δὲ	G1161	de	-	-
1:12	11	Σαλαθιὴλ	G4528	Salathiēl	Shealtiel	Shealtiel
1:12	12	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:12	13	τὸν	G3588	ton	-	-
1:12	14	Ζοροβαβέλ	G2216	Zorobabel	Zerubbabel	Zerubbabel
1:13	1	Ζοροβαβὲλ	G2216	Zorobabel	Zerubbabel	Zerubbabel
1:13	2	δὲ	G1161	de	-	-
1:13	3	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:13	4	τὸν	G3588	ton	-	-
1:13	5	Ἀβιούδ	G10	Abioud	Abiud	Abiud
1:13	6	Ἀβιοὺδ	G10	Abioud	Abiud	Abiud
1:13	7	δὲ	G1161	de	-	-
1:13	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:13	9	τὸν	G3588	ton	-	-
1:13	10	Ἐλιακίμ	G1662	Eliakim	Eliakim	Eliakim
1:13	11	δὲ	G1161	de	and	and
1:13	12	Ἐλιακὶμ	G1662	Eliakim	Eliakim	Eliakim
1:13	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:13	14	τὸν	G3588	ton	-	-
1:13	15	Ἀζώρ	G107	Azōr	Azor	Azor
1:14	1	Ἀζὼρ	G107	Azōr	Azor	Azor
1:14	2	δὲ	G1161	de	-	-
1:14	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:14	4	τὸν	G3588	ton	-	-
1:14	5	Σαδώκ	G4524	Sadōk	Zadok	Zadok
1:14	6	Σαδὼκ	G4524	Sadōk	Zadok	Zadok
1:14	7	δὲ	G1161	de	-	-
1:14	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:14	9	τὸν	G3588	ton	-	-
1:14	10	Ἀχίμ	G885	Achim	Achim	Achim
1:14	11	δὲ	G1161	de	and	and
1:14	12	Ἀχὶμ	G885	Achim	Achim	Achim
1:14	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:14	14	τὸν	G3588	ton	-	-
1:14	15	Ἐλιούδ	G1664	Elioud	Eliud	Eliud
1:15	1	Ἐλιοὺδ	G1664	Elioud	Eliud	Eliud
1:15	2	δὲ	G1161	de	-	-
1:15	3	ἐγέννησεν	G1080	egennēsen	was the father of	was the father of
1:15	4	τὸν	G3588	ton	-	-
1:15	5	Ἐλεάζαρ	G1648	Eleazar	Eleazar	Eleazar
1:15	6	Ἐλεάζαρ	G1648	Eleazar	Eleazar	Eleazar
1:15	7	δὲ	G1161	de	-	-
1:15	8	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:15	9	τὸν	G3588	ton	-	-
1:15	10	Ματθάν	G3157	Matthan	Matthan	Matthan
1:15	11	δὲ	G1161	de	-	-
1:15	12	Ματθὰν	G3157	Matthan	Matthan	Matthan
1:15	13	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:15	14	τὸν	G3588	ton	-	-
1:15	15	Ἰακώβ	G2384	Iakōb	Jacob	Jacob
1:16	1	δὲ	G1161	de	and	and
1:16	2	Ἰακὼβ	G2384	Iakōb	Jacob	Jacob
1:16	3	ἐγέννησεν	G1080	egennēsen	the father of	the father of
1:16	4	τὸν	G3588	ton	-	-
1:16	5	Ἰωσὴφ	G2501	Iōsēph	Joseph	Joseph
1:16	6	τὸν	G3588	ton	the	the
1:16	7	ἄνδρα	G435	andra	husband	husband
1:16	8	Μαρίας	G3137	Marias	of Mary	of Mary
1:16	9	ἐξ	G1537	ex	of	of
1:16	10	ἧς	G3739	hēs	whom	whom
1:16	11	ἐγεννήθη	G1080	egennēthē	was born	was born
1:16	12	Ἰησοῦς	G2424	Iēsous	Jesus	Jesus
1:16	13	ὁ	G3588	ho	who	who
1:16	14	λεγόμενος	G3004	legomenos	is called	is called
1:16	15	Χριστός	G5547	Christos	Christ	Christ
1:17	1	Πᾶσαι	G3956	Pasai	In all	In all
1:17	2	οὖν	G3767	oun	then	then
1:17	3	δεκατέσσαρες	G1180	dekatessares	[there were] fourteen	[there were] fourteen
1:17	4	αἱ	G3588	hai	. . .	. . .
1:17	5	γενεαὶ	G1074	geneai	. . .	. . .
1:17	6	γενεαὶ	G1074	geneai	generations	generations
1:17	7	ἀπὸ	G575	apo	from	from
1:17	8	Ἀβραὰμ	G11	Abraam	Abraham	Abraham
1:17	9	ἕως	G2193	heōs	to	to
1:17	10	Δαυὶδ	G1138	Dauid	David	David
1:17	11	καὶ	G2532	kai	-	-
1:17	12	δεκατέσσαρες	G1180	dekatessares	fourteen	fourteen
1:17	13	γενεαὶ	G1074	geneai	-	-
1:17	14	ἀπὸ	G575	apo	from	from
1:17	15	Δαυὶδ	G1138	Dauid	David	David
1:17	16	ἕως	G2193	heōs	to	to
1:17	17	τῆς	G3588	tēs	the	the
1:17	18	μετοικεσίας	G3350	metoikesias	exile	exile
1:17	19	Βαβυλῶνος	G897	Babylōnos	to Babylon	to Babylon
1:17	20	καὶ	G2532	kai	and	and
1:17	21	δεκατέσσαρες	G1180	dekatessares	fourteen	fourteen
1:17	22	γενεαὶ	G1074	geneai	-	-
1:17	23	ἀπὸ	G575	apo	from	from
1:17	24	τῆς	G3588	tēs	the	the
1:17	25	μετοικεσίας	G3350	metoikesias	exile	exile
1:17	26	Βαβυλῶνος	G897	Babylōnos	. . .	. . .
1:17	27	ἕως	G2193	heōs	to	to
1:17	28	τοῦ	G3588	tou	the	the
1:17	29	Χριστοῦ	G5547	Christou	Christ	Christ
1:18	1	δὲ	G1161	de	-	-
1:18	2	οὕτως	G3779	houtōs	This is how	This is how
1:18	3	ἡ	G3588	hē	the	the
1:18	4	γένεσις	G1078	genesis	birth	birth
1:18	5	Τοῦ	G3588	Tou	-	-
1:18	6	Ἰησοῦ	G2424	Iēsou	of Jesus	of Jesus
1:18	7	Χριστοῦ	G5547	Christou	Christ	Christ
1:18	8	ἦν	G1510	ēn	came about	came about
1:18	9	τῆς	G3588	tēs	-	-
1:18	10	αὐτοῦ	G846	autou	His	His
1:18	11	μητρὸς	G3384	mētros	mother	mother
1:18	12	Μαρίας	G3137	Marias	Mary	Mary
1:18	13	μνηστευθείσης	G3423	mnēsteutheisēs	was pledged in marriage	was pledged in marriage
1:18	14	τῷ	G3588	tō	-	-
1:18	15	Ἰωσήφ	G2501	Iōsēph	to Joseph	to Joseph
1:18	16	ἢ	G2228	ē	but	but
1:18	17	πρὶν	G4250	prin	before	before
1:18	18	αὐτοὺς	G846	autous	they	they
1:18	19	συνελθεῖν	G4905	synelthein	came together	came together
1:18	20	εὑρέθη	G2147	heurethē	she was found	she was found
1:18	21	ἔχουσα	G2192	echousa	to be with child	to be with child
1:18	22	ἐν	G1722	en	. . .	. . .
1:18	23	γαστρὶ	G1064	gastri	. . .	. . .
1:18	24	ἐκ	G1537	ek	through	through
1:18	25	ἁγίου	G40	hagiou	[the] Holy	[the] Holy
1:18	26	πνεύματος	G4151	pneumatos	Spirit	Spirit
1:19	1	δὲ	G1161	de	Because	Because
1:19	2	Ἰωσὴφ	G2501	Iōsēph	Joseph	Joseph
1:19	3	ὁ	G3588	ho	-	-
1:19	4	αὐτῆς	G846	autēs	her	her
1:19	5	ἀνὴρ	G435	anēr	husband	husband
1:19	6	ὢν	G1510	ōn	was	was
1:19	7	δίκαιος	G1342	dikaios	a righteous man	a righteous man
1:19	8	καὶ	G2532	kai	and	and
1:19	9	μὴ	G3361	mē	vvv	vvv
1:19	10	θέλων	G2309	thelōn	was unwilling	was unwilling
1:19	11	αὐτὴν	G846	autēn	vvv	vvv
1:19	12	δειγματίσαι	G1165	deigmatisai	to disgrace her publicly	to disgrace her publicly
1:19	13	ἐβουλήθη	G1014	eboulēthē	he resolved	he resolved
1:19	14	ἀπολῦσαι	G630	apolysai	to divorce	to divorce
1:19	15	αὐτήν	G846	autēn	her	her
1:19	16	λάθρᾳ	G2977	lathra	quietly	quietly
1:20	1	δὲ	G1161	de	But	But
1:20	2	αὐτοῦ	G846	autou	after	after
1:20	3	ἐνθυμηθέντος	G1760	enthymēthentos	he had pondered	he had pondered
1:20	4	Ταῦτα	G3778	Tauta	these things	these things
1:20	5	ἰδοὺ	G2400	idou	-	-
1:20	6	ἄγγελος	G32	angelos	an angel	an angel
1:20	7	Κυρίου	G2962	Kyriou	of [the] Lord	of [the] Lord
1:20	8	ἐφάνη	G5316	ephanē	appeared	appeared
1:20	9	αὐτῷ	G846	autō	to him	to him
1:20	10	κατ’	G2596	kat’	in	in
1:20	11	ὄναρ	G3677	onar	a dream	a dream
1:20	12	λέγων	G3004	legōn	[and] said	[and] said
1:20	13	Ἰωσὴφ	G2501	Iōsēph	Joseph	Joseph
1:20	14	υἱὸς	G5207	huios	son	son
1:20	15	Δαυίδ	G1138	Dauid	of David	of David
1:20	16	φοβηθῇς	G5399	phobēthēs	do not be afraid	do not be afraid
1:20	17	μὴ	G3361	mē	. . .	. . .
1:20	18	παραλαβεῖν	G3880	paralabein	to embrace	to embrace
1:20	19	Μαρίαν	G3137	Marian	Mary	Mary
1:20	20	τὴν	G3588	tēn	[as]	[as]
1:20	21	σου	G4771	sou	your	your
1:20	22	γυναῖκά	G1135	gynaika	wife	wife
1:20	23	γὰρ	G1063	gar	for	for
1:20	24	τὸ	G3588	to	the [One]	the [One]
1:20	25	γεννηθὲν	G1080	gennēthen	conceived	conceived
1:20	26	ἐν	G1722	en	in	in
1:20	27	αὐτῇ	G846	autē	her	her
1:20	28	ἐστιν	G1510	estin	is	is
1:20	29	ἐκ	G1537	ek	from	from
1:20	30	Ἁγίου	G40	Hagiou	[the] Holy	[the] Holy
1:20	31	Πνεύματός	G4151	Pneumatos	Spirit	Spirit
1:21	1	τέξεται	G5088	texetai	She will give birth to	She will give birth to
1:21	2	δὲ	G1161	de	-	-
1:21	3	υἱὸν	G5207	huion	a Son	a Son
1:21	4	καὶ	G2532	kai	and	and
1:21	5	καλέσεις	G2564	kaleseis	you are to give	you are to give
1:21	6	αὐτοῦ	G846	autou	Him	Him
1:21	7	τὸ	G3588	to	the	the
1:21	8	ὄνομα	G3686	onoma	name	name
1:21	9	Ἰησοῦν	G2424	Iēsoun	Jesus	Jesus
1:21	10	γὰρ	G1063	gar	because	because
1:21	11	αὐτὸς	G846	autos	He	He
1:21	12	σώσει	G4982	sōsei	will save	will save
1:21	13	τὸν	G3588	ton	-	-
1:21	14	αὐτοῦ	G846	autou	His	His
1:21	15	λαὸν	G2992	laon	people	people
1:21	16	ἀπὸ	G575	apo	from	from
1:21	17	τῶν	G3588	tōn	-	-
1:21	18	αὐτῶν	G846	autōn	their	their
1:21	19	ἁμαρτιῶν	G266	hamartiōn	sins	sins
1:22	1	ὅλον	G3650	holon	All	All
1:22	2	δὲ	G1161	de	-	-
1:22	3	Τοῦτο	G3778	Touto	this	this
1:22	4	γέγονεν	G1096	gegonen	took place	took place
1:22	5	ἵνα	G2443	hina	to	to
1:22	6	πληρωθῇ	G4137	plērōthē	fulfill	fulfill
1:22	7	τὸ	G3588	to	what	what
1:22	8	ὑπὸ	G5259	hypo	-	-
1:22	9	Κυρίου	G2962	Kyriou	the Lord	the Lord
1:22	10	ῥηθὲν	G2046	rhēthen	had said	had said
1:22	11	διὰ	G1223	dia	through	through
1:22	12	τοῦ	G3588	tou	the	the
1:22	13	προφήτου	G4396	prophētou	prophet	prophet
1:22	14	λέγοντος	G3004	legontos	-	-
1:23	1	Ἰδοὺ	G2400	Idou	Behold	Behold
1:23	2	ἡ	G3588	hē	the	the
1:23	3	παρθένος	G3933	parthenos	virgin	virgin
1:23	4	ἕξει	G2192	hexei	will be with child	will be with child
1:23	5	ἐν	G1722	en	. . .	. . .
1:23	6	γαστρὶ	G1064	gastri	. . .	. . .
1:23	7	καὶ	G2532	kai	and	and
1:23	8	τέξεται	G5088	texetai	will give birth to	will give birth to
1:23	9	υἱόν	G5207	huion	a son	a son
1:23	10	καὶ	G2532	kai	and	and
1:23	11	καλέσουσιν	G2564	kalesousin	they will call	they will call
1:23	12	τὸ	G3588	to	-	-
1:23	13	αὐτοῦ	G846	autou	Him	Him
1:23	14	ὄνομα	G3686	onoma	. . .	. . .
1:23	15	Ἐμμανουήλ	G1694	Emmanouēl	Immanuel	Immanuel
1:23	16	ὅ	G3739	ho	( which	( which
1:23	17	ἐστιν	G1510	estin	means	means
1:23	18	μεθερμηνευόμενον	G3177	methermēneuomenon	. . .	. . .
1:23	19	ὁ	G3588	ho	-	-
1:23	20	Θεός	G2316	Theos	God	God
1:23	21	Μεθ’	G3326	Meth’	with	with
1:23	22	ἡμῶν	G1473	hēmōn	us	us
1:24	1	δὲ	G1161	de	When	When
1:24	2	ὁ	G3588	ho	-	-
1:24	3	Ἰωσὴφ	G2501	Iōsēph	Joseph	Joseph
1:24	4	Ἐγερθεὶς	G1453	Egertheis	woke up	woke up
1:24	5	ἀπὸ	G575	apo	. . .	. . .
1:24	6	τοῦ	G3588	tou	. . .	. . .
1:24	7	ὕπνου	G5258	hypnou	. . .	. . .
1:24	8	ἐποίησεν	G4160	epoiēsen	he did	he did
1:24	9	ὡς	G5613	hōs	as	as
1:24	10	ὁ	G3588	ho	the	the
1:24	11	ἄγγελος	G32	angelos	angel	angel
1:24	12	Κυρίου	G2962	Kyriou	of [the] Lord	of [the] Lord
1:24	13	προσέταξεν	G4367	prosetaxen	had commanded	had commanded
1:24	14	αὐτῷ	G846	autō	him	him
1:24	15	καὶ	G2532	kai	and	and
1:24	16	παρέλαβεν	G3880	parelaben	embraced	embraced
1:24	17	τὴν	G3588	tēn	[Mary as]	[Mary as]
1:24	18	αὐτοῦ	G846	autou	his	his
1:24	19	γυναῖκα	G1135	gynaika	wife	wife
1:25	1	καὶ	G2532	kai	[But]	[But]
1:25	2	ἐγίνωσκεν	G1097	eginōsken	he had no union	he had no union
1:25	3	οὐκ	G3756	ouk	. . .	. . .
1:25	4	αὐτὴν	G846	autēn	with her	with her
1:25	5	ἕως	G2193	heōs	until	until
1:25	6	οὗ	G3739	hou	-	-
1:25	7	ἔτεκεν	G5088	eteken	she gave birth to	she gave birth to
1:25	8	υἱόν	G5207	huion	a Son	a Son
1:25	9	καὶ	G2532	kai	And	And
1:25	10	ἐκάλεσεν	G2564	ekalesen	he gave Him the name	he gave Him the name
1:25	11	τὸ	G3588	to	. . .	. . .
1:25	12	ὄνομα	G3686	onoma	. . .	. . .
1:25	13	αὐτοῦ	G846	autou	. . .	. . .
1:25	14	Ἰησοῦν	G2424	Iēsoun	Jesus	Jesus
2:1	1	δὲ	G1161	de	After	After
2:1	2	Τοῦ	G3588	Tou	-	-
2:1	3	Ἰησοῦ	G2424	Iēsou	Jesus	Jesus
2:1	4	γεννηθέντος	G1080	gennēthentos	was born	was born
2:1	5	ἐν	G1722	en	in	in
2:1	6	Βηθλέεμ	G965	Bēthleem	Bethlehem	Bethlehem
2:1	7	τῆς	G3588	tēs	-	-
2:1	8	Ἰουδαίας	G2449	Ioudaias	in Judea	in Judea
2:1	9	ἐν	G1722	en	during	during
2:1	10	ἡμέραις	G2250	hēmerais	[the] time	[the] time
2:1	11	τοῦ	G3588	tou	-	-
2:1	12	βασιλέως	G935	basileōs	of King	of King
2:1	13	Ἡρῴδου	G2264	Hērōdou	Herod	Herod
2:1	14	ἰδοὺ	G2400	idou	-	-
2:1	15	μάγοι	G3097	magoi	Magi	Magi
2:1	16	ἀπὸ	G575	apo	from [the]	from [the]
2:1	17	ἀνατολῶν	G395	anatolōn	east	east
2:1	18	παρεγένοντο	G3854	paregenonto	arrived	arrived
2:1	19	εἰς	G1519	eis	in	in
2:1	20	Ἱεροσόλυμα	G2414	Hierosolyma	Jerusalem	Jerusalem
2:2	1	λέγοντες	G3004	legontes	asking	asking
2:2	2	Ποῦ	G4226	Pou	Where	Where
2:2	3	ἐστιν	G1510	estin	is	is
2:2	4	ὁ	G3588	ho	the [One who]	the [One who]
2:2	5	τεχθεὶς	G5088	techtheis	has been born	has been born
2:2	6	βασιλεὺς	G935	basileus	King	King
2:2	7	τῶν	G3588	tōn	of the	of the
2:2	8	Ἰουδαίων	G2453	Ioudaiōn	Jews	Jews
2:2	9	γὰρ	G1063	gar	-	-
2:2	10	εἴδομεν	G3708	eidomen	We saw	We saw
2:2	11	αὐτοῦ	G846	autou	His	His
2:2	12	τὸν	G3588	ton	-	-
2:2	13	ἀστέρα	G792	astera	star	star
2:2	14	ἐν	G1722	en	in	in
2:2	15	τῇ	G3588	tē	the	the
2:2	16	ἀνατολῇ	G395	anatolē	east	east
2:2	17	καὶ	G2532	kai	and	and
2:2	18	ἤλθομεν	G2064	ēlthomen	have come	have come
2:2	19	προσκυνῆσαι	G4352	proskynēsai	to worship	to worship
2:2	20	αὐτῷ	G846	autō	Him	Him
2:3	1	δὲ	G1161	de	When	When
2:3	2	ὁ	G3588	ho	-	-
2:3	3	βασιλεὺς	G935	basileus	King	King
2:3	4	Ἡρῴδης	G2264	Hērōdēs	Herod	Herod
2:3	5	Ἀκούσας	G191	Akousas	heard [this]	heard [this]
2:3	6	ἐταράχθη	G5015	etarachthē	he was disturbed	he was disturbed
